Headline,Day,Published_Date,Published_Region,Timings,Meetings
Madurai Today,Friday,2018-06-29,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-06-27,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-06-26,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-06-25,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Friday,2018-06-22,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-06-20,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Monday,2018-06-18,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, West Veli Street, 7 a.m.; Quality Care Hospital, Ellis Nagar, and AG Church, Gomathipuram, 7 p.m."
Madurai Today,Saturday,2018-06-16,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-06-15,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Tuesday,2018-06-12,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today for June 11,Monday,2018-06-11,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting; Holy Redeemers Church, West Veli Street, 7 a.m.; Quality Care Hospital, Ellis Nagar, and AG Church, Gomathipuram, 7 p.m."
Madurai Today,Saturday,2018-06-09,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-06-08,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-06-06,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-06-05,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Saturday,2018-06-02,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-06-01,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-05-30,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai today,Monday,2018-05-28,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today for Saturday and Sunday,Saturday,2018-05-26,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-05-25,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-05-23,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R.C.Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara HSS; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-05-22,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2018-05-21,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-05-19,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-05-18,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-05-16,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-05-15,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Friday,2018-05-11,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-05-09,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-05-08,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-05-07,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-05-05,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-05-04,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Tuesday,2018-05-01,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai today,Monday,2018-04-30,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram; Quality Care Hospital, Ellis Nagar, 7 p.m."
"ENGAGEMENTS FOR 30 APRIL, Monday",Monday,2018-04-30,TAMIL NADU,['7 p.m.']," Anonymous: Meetings, Our Lady of Lourdes Church, Perambur, 6-30 p.m.; Meston College, Royapettah; Risen Redeemers Church, United India Colony, Kodambakkam; Annai Velankanni Church, Besant Nagar; The Lady of Light Church, Luz Church Rd, 7 p.m."
Madurai Today,Saturday,2018-04-28,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. HSS, West Veli Street, 11 a.m.; R. C. School, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-04-27,TAMIL NADU,"['6.30 p.m.', '7 p.m.', '9.05 a.m.', '7.30 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m.
Meenakshi Sundareswarar Temple: Celestial wedding of Goddess Meenakshi with Lord Sundareswarar, 9.05 a.m.; procession of deities, ‘poopallakku,’ Masi Streets, 7.30 p.m."
Madurai Today,Tuesday,2018-04-24,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Tuesday,2018-04-24,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-04-23,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-04-21,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-04-20,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2018-04-19,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Tuesday,2018-04-17,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today for Monday 15 April,Monday,2018-04-16,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Friday,2018-04-13,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-04-11,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-04-10,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today for April 9,Monday,2018-04-09,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-04-07,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-04-06,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Tuesday,2018-04-03,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-04-02,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram, and Quality Care Hospital, Ellis Nagar, 7 p.m."
Madurai Today,Friday,2018-03-30,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Thursday,2018-03-29,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; Dheep Hospital, Alagarkoil Road, K. Pudur; Kalangarai Vilakkam Church, Mela Anuppanadi, and Rosary Church, Town Hall Road, 7 p.m."
Madurai Today,Tuesday,2018-03-27,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-03-26,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-03-24,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-03-23,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-03-21,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-03-20,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-03-19,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, near Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-03-17,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Wednesday,2018-03-14,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-03-13,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-03-12,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-03-10,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Tuesday,2018-03-06,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-03-05,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, Periyar bus stand, 7 a.m.; A.G. Church, Gomathipuram and Quality Care Hospital Ellis Nagar, 7 p.m."
Madurai Today,Saturday,2018-03-03,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Friday,2018-03-02,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m., CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-02-28,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-02-27,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and RC School, Palanganatham, 7 p.m."
Madurai Today for Monday,Monday,2018-02-26,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting, Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre,, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Friday,2018-02-23,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Middle School, North Masi Street, 7 p.m."
Madurai Today,Wednesday,2018-02-21,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; R. C. Church, Sivaganga Road, Melur, 6.30 p.m.Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Friday,2018-02-16,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Corporation Colony, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
Madurai Today,Tuesday,2018-02-13,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting, Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Friday,2018-02-09,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; Tamilarasi School, Melur, 6.30 p.m.; CSI Cathedral, Narimedu; Corporation Colony, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
De-addiction drive in Mysuru,Thursday,2018-02-08,KARNATAKA,[],"NR Foundation, the philanthropic arm of NR Group, is holding a de-addiction drive under phase 2 of Project Prerepana in association with Swami Vivekananda Youth Movement (SVYM).
The residential camp was inaugurated by M.R. Suresh, chief operating officer of NR Group, Sindhu Suresh, director of Vivekananda Institute of Indian Studies, Veeraj of Alcohol Anonymous Group, Dhushyanth, physician (palliative care), SVYM, at Achala Hall, V-LEAD Hostel here.
The 10-day camp began on February 3 and will end on February 10. Twenty people from seven slums were counselled to attend the camp. Apart from day-long physical activities such as yoga and meditation, the camp includes medication for depression or other disorders, counselling by experts, and sharing of experiences with other addicts.
Alcohol and drug abuse has been a major problem in society for long. A considerable number of people have lost their lives or brought disrepute to their family because of addiction.
Holistic perspective
Speaking about this initiative, Mr. Suresh M.R., chief operating officer of Cycle Pure Agarbathies, said: “Alcohol and drugs are among the major issues that need to be uprooted. Through our de-addiction camp, we aim to make people aware of this grave addiction and help them fight it. In addition to helping individuals handle addiction, the programmes envision a holistic perspective on life.”
Dr. Sindhu Suresh said: “This programme aims to empower individuals to live an addiction-free life. This residential de-addition camp will make a difference not only in the individual’s life but also in [his or her] family's. The programme includes stress-handling techniques like pranayama and yoga to overcome craving for cigarette or alcohol. The treatment includes medical detoxification and clinical and psychological therapy.”"
Madurai Today,Tuesday,2018-02-06,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting, Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre,, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-02-05,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, West Veli Street, 7 a.m.; Quality Care Hospital, Ellis Nagar and AG Church, Gomathipuram, 7 p.m."
Madurai Today,Saturday,2018-02-03,TAMIL NADU,"['11 a.m.', '6.30 p.m.', '7 p.m.']"," Anonymous: Meeting; U. C. Higher Secondary School, West Veli Street, 11 a.m.; R. C. School, Sivaganga Road, Melur, 6.30 p.m.; Justice V. R. Krishna Iyer Community Hall, Lake View Road, K. K. Nagar, and Railway Institute, 7 p.m."
Madurai Today,Wednesday,2018-01-31,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting, RC School, Sivaganga Road, Melur, 6.30 p.m.; Prasanna Venkateswara Higher Secondary School; Dheep Hospital, K. Pudur, and Loyola Technical Institute, Gnanaolivupuram, 7 p.m."
Madurai Today,Tuesday,2018-01-30,TAMIL NADU,"['6.30 p.m.', '7 p.m.']"," Anonymous: Meeting, Tamilarasi School, Melur, 6.30 p.m.; St. Mary’s Higher Secondary School, East Veli Street; De Nobili Pastoral Centre, K. Pudur, and R. C. School, Palanganatham, 7 p.m."
Madurai Today,Monday,2018-01-29,TAMIL NADU,"['7 a.m.', '7 p.m.']"," Anonymous: Meeting, Holy Redeemers Church, West Veli Street, 7 a.m.; Quality Care Hospital, Ellis Nagar and AG Church, Gomathipuram, 7 p.m."
Madurai Today,Friday,2018-01-26,TAMIL NADU,['7 p.m.']," Anonymous: Meeting; CSI Cathedral, Narimedu; Parasakthi Nagar, Avaniapuram, and Maniyammai Nursery School, North Masi Street, 7 p.m."
